Identifier;Company Name;Country of Headquarters;"ESG Score
NOVN.S;Novartis AG;Switzerland;85,26;86,39;85,55;83,2;85,15;82,99;84,24;84,3;84,46;84,7
ONE.S;One Swiss Bank SA;Switzerland;14,82;10,82;;;;;;;;
HBLN.S;Hypothekarbank Lenzburg AG;Switzerland;;;;;;;;;;
HUBN.S;Huber+Suhner AG;Switzerland;64,7;64,83;64,48;51,36;50,33;42,74;39,66;48,43;36,67;40,57
LECN.S;Leclanche SA;Switzerland;17,75;14,97;;;;;;;;
MORG.DE;MorphoSys AG;Germany;53,07;54,28;53,24;49,73;42,6;41,35;45,67;45,54;46,34;
MWBG.DE;mwb Fairtrade Wertpapierhandelsbank AG;Germany;;;;;;;;;;
NSNG.F;Neschen AG;Germany;;;;;;;;;;
CLXN.S;Crealogix Holding AG;Switzerland;26,24;25,06;20,82;;;;;;;
WKB.S;Banque Cantonale du Valais;Switzerland;;;;;;;;;;
SOL.S;SOLVALOR 61;Switzerland;;;;;;;;;;
BBHKk.F;Deutsche Balaton AG;Germany;;;;;;;;;;
MOZN.S;Mobilezone Holding AG;Switzerland;40,2;35,33;29,05;18,03;11,28;;;;;
VLRT.S;Valartis Group AG;Switzerland;19,48;21,62;17,62;;;;;;;
BOS.S;Bossard Holding AG;Switzerland;43,93;51,4;39,44;33,15;27,3;;;;;
FMEG.DE;Fresenius Medical Care AG & Co KGaA;Germany;86,42;86,72;84,13;79,68;80,14;74,18;72,72;68,92;66,43;67,55
STX50EEX.DE;iShares Core EURO STOXX 50 UCITS ETF (DE);Germany;;;;;;;;;;
SWVKk.F;SolarWorld AG;Germany;62,91;66,81;69,23;51,32;54,41;54,76;56,83;57,03;71,65;63,46
STX50EX.DE;iShares STOXX Europe 50 UCITS ETF (DE);Germany;;;;;;;;;;
SGBI.PK;Sangui Biotech International Inc;Germany;;;;;;;;;;
TIBN.S;Bergbahnen Engelberg Truebsee Titlis Bet AG;Switzerland;;;;;;;;;;
AVFP.PK;Avis Financial Corp;Switzerland;;;;;;;;;;
MBKG.DE;Merkur Privatbank KGaA;Germany;;;;;;;;;;
GDAXIEX.DE;iShares Core DAX UCITS ETF (DE);Germany;;;;;;;;;;
TLIK.DE;TELES Informationstechnologien AG;Germany;;;;;;;;;;
COP1n.DE;CompuGroup Medical SE & Co KgaA;Germany;48,09;47,67;41,38;30,52;30,24;;;;;
STLN.S;Swiss Steel Holding AG;Switzerland;51,48;49,29;50,26;44,13;46,94;;;;;
PUMG.DE;Puma SE;Germany;86,08;85,44;81,27;80,14;72,49;73,96;72,93;74,53;72,03;73,76
BEFG.F;Berliner Effektengesellschaft AG;Germany;;;;;;;;;;
BSSG.F;Beta Systems Software AG;Germany;;;;;;;;;;
STOG_p.DE;Sto SE & Co KgaA;Germany;57,96;52,38;48,38;45,91;;;;;;
ASCN.S;Ascom Holding AG;Switzerland;59,43;57,67;54,31;45,32;29,51;;;;;
KUB1G.MU;Konsortium AG;Germany;;;;;;;;;;
RMOG.D;RM Rheiner Management AG;Germany;;;;;;;;;;
IWG.L;IWG Plc;Switzerland;54,88;52,11;53,31;59,03;58,92;49,08;50,15;35,9;39,06;45,45
GMMG.DE;Grammer AG;Germany;59,46;40,7;39,51;;;;;;;
ALPN.S;Alpine Select AG;Switzerland;12,77;12,19;11,4;;;;;;;
ADNGk.DE;adesso SE;Germany;62,27;23,66;20,79;;;;;;;
CAG0n.H;Clere AG;Germany;;;;;;;;;;
EXJ.F;Readcrest Capital AG;Germany;;;;;;;;;;
HLEE.S;Highlight Event and Entertainment AG;Switzerland;9,72;10,93;7,34;;;;;;;
SFDGk.F;Softline AG;Germany;;;;;;;;;;
RSL2.DE;R Stahl AG;Germany;29,88;32,86;33,55;;;;;;;
YMSG.F;Ymos AG;Germany;;;;;;;;;;
COTNE.S;Comet Holding AG;Switzerland;59,43;49,54;46,95;28,8;22,88;;;;;
DOKA.S;Dormakaba Holding AG;Switzerland;84,96;82,39;82,02;71,54;68,66;62,06;55,07;42,21;46,23;39,71
SMWN.DE;SM Wirtschaftsberatungs AG;Germany;;;;;;;;;;
CWCG.DE;Cewe Stiftung & Co KGaA;Germany;64,2;59,53;49,27;51,37;;;;;;
IFCN.S;Inficon Holding AG;Switzerland;55,3;53,16;25,89;19,64;;;;;;
CLN.S;Clariant AG;Switzerland;80,49;79,76;80,48;76,63;77,56;76,45;76,5;68,79;68,33;66,94
JENGn.DE;Jenoptik AG;Germany;68,1;69,2;56,59;53,4;49;;;;;
SGCG.DE;SGL Carbon SE;Germany;70,12;69,5;67,51;65,68;66,77;58,63;57,62;53,96;42,47;42,95
UHR.S;Swatch Group AG;Switzerland;64,55;58,52;35,64;32,71;30,5;29,94;25,29;25,04;20,42;17,5
MBGn.DE;Mercedes Benz Group AG;Germany;92,34;93,97;93,92;93,26;93,83;91,38;92,21;93,03;90,88;94,57
EDLG.DE;Edel SE & Co KgaA;Germany;;;;;;;;;;
BMMG.F;Brueder Mannesmann AG;Germany;;;;;;;;;;
LOGN.S;Logitech International SA;Switzerland;79,77;71,4;68,69;64,31;65,18;61,68;38,06;26,55;26,86;26
LUMG.F;ais AG;Germany;;;;;;;;;;
ADVG.DE;Adtran Networks SE;Germany;72,99;76,54;70,29;69,15;74,37;;;;;
JOXG.MU;Jost AG;Germany;;;;;;;;;;
GIVG.DE;Verianos Se;Germany;;;;;;;;;;
NWXG.F;NORDWEST Handel AG;Germany;;;;;;;;;;
WSUG.DE;WashTec AG;Germany;44;32,38;20,8;18,14;;;;;;
BCGE.S;Banque Cantonale de Geneve;Switzerland;30,98;32,65;31,14;;;;;;;
HELN.S;Helvetia Holding AG;Switzerland;67,34;66,96;66,4;56,76;46,17;38,92;37,65;47,55;51,36;51,44
MSHGn.F;WASGAU Produktions & Handels AG;Germany;;;;;;;;;;
SYZG.DE;Syzygy AG;Germany;28,88;31,98;14,92;;;;;;;
UBKG.DE;Umweltbank AG;Germany;;;;;;;;;;
KNIN.S;Kuehne und Nagel International AG;Switzerland;71,32;70,59;71,17;65,97;62,85;52,05;51,17;50,69;46,03;50,64
UTDI.DE;United Internet AG;Germany;60,51;45,23;43,41;37,84;27,02;31,23;14,03;11,02;14,16;15,37
PNEGn.DE;PNE AG;Germany;33,73;34,23;25,78;27,76;;;;;;
WOLFG.DE;Meta Wolf AG;Germany;;;;;;;;;;
ALSN.S;Also Holding AG;Switzerland;38,58;40,8;20,09;13,97;;;;;;
NEKG.DE;Nemetschek SE;Germany;54,36;57,33;54,61;40,47;34,39;19,56;;;;
MXHNn.DE;MAX Automation SE;Germany;32,02;31,96;;;;;;;;
PSMGn.DE;Prosiebensat 1 Media SE;Germany;72,69;73,82;74,38;73,96;72,75;68,38;59,25;55,9;33,33;35,69
YSNG.DE;secunet Security Networks AG;Germany;57,01;52;43,77;;;;;;;
PEHG.F;PEH Wertpapier AG;Germany;;;;;;;;;;
BLMG.DE;Baader Bank AG;Germany;;;;;;;;;;
FRSG.DE;Foris AG;Germany;;;;;;;;;;
MDG1k.DE;Medigene AG;Germany;;;;;;;;;;
MRCG.DE;Merck KGaA;Germany;90,05;91,32;87,08;83,49;83,81;78,4;80,5;80,02;74,96;72,05
SLTG.H;Schaltbau Holding AG;Germany;24,95;;;;;;;;;
ELMN.S;Elma Electronic AG;Switzerland;;;;;;;;;;
IVUG.DE;IVU Traffic Technologies AG;Germany;44,39;36,75;;;;;;;;
VEHG.F;Valora Effekten Handel AG;Germany;;;;;;;;;;
DJGTEEX.DE;iShares Dow Jones Global Titans 50 (DE);Germany;;;;;;;;;;
EMHn.DE;Pferdewetten de AG;Germany;;;;;;;;;;
GMEG.DE;Geratherm Medical AG;Germany;;;;;;;;;;
HLGZ.DE;Highlight Communications AG;Switzerland;11,94;16,12;14,66;;;;;;;
AIXGn.DE;Aixtron SE;Germany;72,92;75,48;74,61;60,8;54,31;54,58;46,54;34,91;33,03;28,02
HDDG.DE;Heidelberger Druckmaschinen AG;Germany;54,1;54,66;56,2;53,01;52,62;43,77;42,46;33,16;40,41;36,55
SNGGk.DE;Singulus Technologies AG;Germany;;;;;;;;;;
TTKG.DE;Takkt AG;Germany;35,31;44,49;28,59;30,78;25,44;;;;;
FIEG.DE;Fielmann AG;Germany;53,59;55,12;50,46;42,23;41,31;37,47;22,37;27,32;21,52;22,05
PSAGn.DE;PSI Software AG;Germany;48,65;42,12;41,79;20,71;;;;;;
AMDG.DE;Amadeus Fire AG;Germany;46,01;38,51;39,57;33,89;29,71;;;;;
FNGG.F;Fritz Nols AG;Germany;;;;;;;;;;
EVTG.DE;Evotec SE;Germany;75,53;74,99;68,44;60,66;56,91;;;;;
MUMG.DE;Mensch und Maschine Software SE;Germany;21,57;21,41;11,04;;;;;;;
TEMN.S;Temenos AG;Switzerland;73,7;75,39;72,26;69;60,93;54,19;52,83;28,65;22,16;25,18
HNRGn.DE;Hannover Rueck SE;Germany;78,22;70,25;53,98;61,61;62,38;60,34;71,72;66,56;67,56;62,28
TOHN.S;Tornos Holding AG;Switzerland;15,88;14,35;13,36;;;;;;;
ADSGn.DE;Adidas AG;Germany;91,55;89,98;92,1;90,82;86,38;85,58;88,42;93,5;86,72;90,93
MGUGg.D;Magnum AG;Germany;;;;;;;;;;
IFS1.F;infas Holding AG;Germany;;;;;;;;;;
STGN.S;Starrag Group Holding AG;Switzerland;35,55;38,22;41,12;;;;;;;
EUZG.DE;Eckert & Ziegler Strahlen und Medizintechnik AG;Germany;46,74;43,37;45,11;36,36;;;;;;
RTCG.DE;Realtech AG;Germany;;;;;;;;;;
TTRGn.DE;technotrans SE;Germany;29,09;23,57;;;;;;;;
EKK1.BE;Reederei Herbert Ekkenga Aktiengesellschaft Passagierschiffahrt;Germany;;;;;;;;;;
BSLG.DE;Basler AG;Germany;46,7;30,67;33,21;22,47;28,75;;;;;
A1OS.DE;All for One Group SE;Germany;58,17;55,28;45,98;21,1;;;;;;
SGUG.F;Sino-German United AG;Germany;;;;;;;;;;
HAKG.HA;Einbecker Brauhaus AG;Germany;;;;;;;;;;
ECKG.DE;LUDWIG BECK am Rathauseck Textilhaus Feldmeier AG;Germany;;;;;;;;;;
ABAG.F;ALBA SE;Germany;;;;;;;;;;
PEHN.S;Private Equity Holding AG;Switzerland;8,37;8,74;9;8,28;5,13;;;;;
SIC.S;Swisscanto (CH) REF Responsible IFCA FA CHF;Switzerland;;;;;;;;;;
MPCKk.DE;MPC Muenchmeyer Petersen Capital AG;Germany;;;;;;;;;;
CSHG.DE;CENIT AG;Germany;48,8;54,56;21,77;;;;;;;
DTDGk.DE;B+S Banksysteme AG;Germany;;;;;;;;;;
1U1.DE;1&1 AG;Germany;71,89;63,39;44,69;34,16;38,12;24,29;;;;
SOWGn.DE;Software AG;Germany;69,24;65,37;57,8;44,04;52;38,28;53,54;45,94;47,7;41,34
EBKG.DE;EnBW Energie Baden Wuerttemberg AG;Germany;60,87;55,91;;;;;;;;
ADVN.S;Adval Tech Holding AG;Switzerland;35;13,8;10,69;;;;;;;
MFCG.H;CashMedien AG;Germany;;;;;;;;;;
SLSAn.DE;Solutiance AG;Germany;;;;;;;;;;
CEKG.DE;CeoTronics Audio Video Data Communication AG;Germany;;;;;;;;;;
CEVG.H;Centrotec SE;Germany;;;;;;;;;;
SMHNn.DE;SUESS MicroTec SE;Germany;56,29;44,91;33,28;15,37;;;;;;
BVZN.S;BVZ Holding AG;Switzerland;;;;;;;;;;
ITMG.DE;Intertainment AG;Germany;;;;;;;;;;
MUBG.DE;Muehlbauer Holding AG;Germany;;;;;;;;;;
PLEKk.F;Plenum AG;Germany;;;;;;;;;;
ELNk.F;Elanix Biotechnologies AG;Germany;;;;;;;;;;
SPTG.F;Sparta AG;Germany;;;;;;;;;;
H2OG.F;Enapter AG;Germany;;;;;;;;;;
LONN.S;Lonza Group AG;Switzerland;84,89;85,32;87,22;80,86;71,11;71,84;64,22;66,02;69,23;66,38
FTON.S;Feintool International Holding AG;Switzerland;53,85;44,76;46,01;38,08;29,56;;;;;
CPUGk.F;CPU Softwarehouse AG;Germany;;;;;;;;;;
EUXG.F;Euwax AG;Germany;;;;;;;;;;
BARN.S;Barry Callebaut AG;Switzerland;76,46;76,66;78,05;75,97;76,25;66,9;61,51;60,03;61,84;50,54
BYBKk.BE;Red Rock Capital AG;Germany;;;;;;;;;;
ESYGn.H;Easy Software AG;Germany;;;;;;;;;;
GSC1n.DE;Gesco SE;Germany;49,7;48,86;39,27;32,15;;;;;;
ACWNn.DE;AS Creation Tapeten AG;Germany;27,62;;;;;;;;;
HOC.H;Holidaycheck Group AG;Germany;;;;;;;;;;
SAHN.S;Schaffner Holding AG;Switzerland;31,44;24,22;;;;;;;;
SYTG.DE;Softing AG;Germany;;;;;;;;;;
UCA1.F;UCA AG;Germany;;;;;;;;;;
CICN.S;Cicor Technologies Ltd;Switzerland;29,92;29,92;12,92;8,35;;;;;;
HAWG.DE;Hawesko Holding SE;Germany;55,49;48,54;;;;;;;;
ECVG.DE;Encavis AG;Germany;45,13;32,16;9,16;9,43;;;;;;
STMN.S;Straumann Holding AG;Switzerland;67,92;66,82;66,53;62,65;62,15;53,79;52,12;55,39;53,09;52,39
SBSG.DE;Stratec SE;Germany;71,11;64,29;48,36;37,56;;;;;;
COKG.DE;Cancom SE;Germany;64,21;51,45;50,01;41,22;;;;;;
KUD.S;Kudelski SA;Switzerland;30,24;29,11;29,06;20,35;11,77;10,8;12,46;12,19;12,56;9,18
EIC.S;Eeii AG;Switzerland;5,1;4,58;3,15;;;;;;;
BANB.S;Bachem Holding AG;Switzerland;54,97;55,58;51,04;32,87;21,21;;;;;
MVVGn.DE;MVV Energie AG;Germany;51,93;51,79;50,04;49,82;53,08;45,89;42,27;46,31;37,32;40,24
NAFG.DE;Aurubis AG;Germany;82,17;80,71;77,54;72,51;69,38;66,2;61,22;64,13;63,02;56,47
KNRS.S;Kinarus Therapeutics Holding AG;Switzerland;6,79;4,91;;;;;;;;
AYDGn.DE;Artnet AG;Germany;;;;;;;;;;
MDNG.DE;Medion AG;Germany;;;;;;;;;;
DGRG.DE;Deutsche Grundstuecksauktionen AG;Germany;;;;;;;;;;
DEQGn.DE;Deutsche EuroShop AG;Germany;24,86;28,46;24,34;21,84;15,95;17,93;16,82;13,2;12,41;18,51
RAAG.DE;Rational AG;Germany;53,07;50,94;45,26;45,05;41,87;;;;;
SISG.DE;First Sensor AG;Germany;46,52;44,11;43,87;;;;;;;
TISG.F;Tiscon AG;Germany;;;;;;;;;;
ABBN.S;Abb Ltd;Switzerland;91,98;94,45;94,03;93,72;92,72;89,72;87,22;88,9;92,89;89,72
ZPFGn.MU;Zapf Creation AG;Germany;;;;;;;;;;
QS6A.SG;Q-Soft Verwaltungs AG;Germany;;;;;;;;;;
SPME.DE;Splendid Medien AG;Germany;;;;;;;;;;
PUS.MU;Pulsion Medical Systems SE;Germany;;;;;;;;;;
KSWG.F;KST Beteiligungs AG;Germany;;;;;;;;;;
THAGN.S;Talenthouse AG;Switzerland;;;;;;;;;;
LOUn.H;DEAG Deutsche Entertainment AG;Germany;;;;;;;;;;
CPE.S;Castle Private Equity AG;Switzerland;12,72;10,07;7,95;;;;;;;
AFRMF.PK;Alphaform AG;Germany;;;;;;;;;;
HBD1.F;Philomaxcap AG;Germany;;;;;;;;;;
2INVn.DE;2Invest AG;Germany;;;;;;;;;;
DE1n.H;Deufol SE;Germany;16,82;12,44;;;;;;;;
SURG.DE;Surteco Group SE;Germany;45,62;51,36;42,8;40,11;;;;;;
YTME.S;Youngtimers AG;Switzerland;;;;;;;;;;
SCMN.S;Swisscom AG;Switzerland;72,68;68,28;75,85;72,61;70,8;64,95;60,99;74,61;69,32;75,46
NXUG.DE;Nexus AG;Germany;53,76;53,04;40,01;;;;;;;
AFXG.DE;Carl Zeiss Meditec AG;Germany;70,29;71,74;71,8;63,19;61,65;55,24;;;;
SHSGk.F;SHS Viveon AG;Germany;;;;;;;;;;
AAQ1k.DE;Aap Implantate AG;Germany;;;;;;;;;;
DREGa.F;Deutsche Real Estate AG;Germany;;;;;;;;;;
AOFG.DE;Atoss Software AG;Germany;;;;;;;;;;
TGTG.DE;11 88 0 Solutions AG;Germany;23,03;24,49;23,23;;;;;;;
MZXG.DE;Masterflex SE;Germany;36,29;33,76;32,13;;;;;;;
AEVS.S;Aevis Victoria SA;Switzerland;13,96;19,54;17,87;;;;;;;
ICPG.F;Panamax AG;Germany;;;;;;;;;;
TTOG.F;TTL Beteiligungs und Grundbesitz AG;Germany;;;;;;;;;;
OBS.DE;Orbis Se;Germany;;;;;;;;;;
ELGG.DE;Elmos Semiconductor SE;Germany;60,33;52,82;35,23;32,48;25,01;;;;;
GEBN.S;Geberit AG;Switzerland;86,2;87,76;90,58;88,65;89,07;83,41;80,73;82,68;77,57;79,65
MONG.MU;Bloxolid AG;Switzerland;;;;;;;;;;
APME.DE;Ad Pepper Media International NV;Germany;;;;;;;;;;
RIG.N;Transocean Ltd;Switzerland;55,57;55,78;57,66;61,71;55,55;65,51;44,11;43,68;53,58;56,79
TPEG.DE;PVA TePla AG;Germany;34,55;31,86;30,57;;;;;;;
CNWk.F;CoDon AG;Germany;;;;;;;;;;
HYIG.F;Hyrican Informationssysteme AG;Germany;;;;;;;;;;
ROG.S;Roche Holding AG;Switzerland;94,42;94,41;95,06;92,81;88,97;89,23;87,48;89,34;89,7;81,09
TLVB.PA;Televerbier SA;Switzerland;;;;;;;;;;
TCUG.F;TC Unterhaltungselektronik AG;Germany;;;;;;;;;;
UUUG.DE;3U Holding AG;Germany;;;;;;;;;;
TECDAXEX.DE;iShares TecDAX® UCITS ETF (DE) EUR (Acc);Germany;;;;;;;;;;
DIEG.DE;Dierig Holding AG;Germany;;;;;;;;;;
BC8G.DE;Bechtle AG;Germany;69,19;53,41;46,08;33,45;30,35;;;;;
NC5Ak.DE;NorCom Information Technology GmbH & Co KgaA;Germany;;;;;;;;;;
VVVGn_p.DE;OEKOWORLD AG;Germany;;;;;;;;;;
ULCG.DE;United Labels AG;Germany;;;;;;;;;;
IFXGn.DE;Infineon Technologies AG;Germany;83,05;83,06;82,17;76,73;76,99;78,96;82,99;80,02;74,31;73,17
MSGL.H;Msg Life Ag;Germany;23,3;15,96;;;;;;;;
TVD6.F;German Values Property Group AG;Germany;;;;;;;;;;
EVDG.DE;Cts Eventim AG & Co KgaA;Germany;36,96;43,35;36,48;27,36;26,15;25,21;;;;
DCIGk.F;DCI Database for Commerce and Industry AG;Germany;;;;;;;;;;
MDAXIEX.DE;iShares MDAX® UCITS ETF (DE);Germany;;;;;;;;;;
CPHN.S;CPH Chemie und Papier Holding AG;Switzerland;17,36;16,67;16,35;;;;;;;
SGKN.S;St Galler Kantonalbank AG;Switzerland;6,16;2,54;3,59;;;;;;;
SQN.S;Swissquote Group Holding SA;Switzerland;57,51;48,03;50,61;20,28;22,99;;;;;
HNLG.DE;Dr Hoenle AG;Germany;27,26;28,93;18,52;;;;;;;
DPWGn.DE;Deutsche Post AG;Germany;79,54;83,55;85,55;87,09;80,12;80,3;82,87;80,36;78,1;79,5
MLLG.DE;Mueller Die lila Logistik SE;Germany;;;;;;;;;;
HYWG.BE;Hydrotec Gesellschaft fuer Wassertechnik AG;Germany;;;;;;;;;;
ALLN.S;Allreal Holding AG;Switzerland;44,69;50,3;45,95;42,4;27,96;24,3;28,83;26,46;27,14;26,15
EKTG.DE;Energiekontor AG;Germany;;;;;;;;;;
PSPN.S;PSP Swiss Property AG;Switzerland;58,1;60,64;45,38;40,3;39,66;30,54;34,99;33,56;31,19;26,42
PDAG.DE;Pro DV AG;Germany;;;;;;;;;;
SHFG.DE;SNP Schneider Neureither & Partner SE;Germany;50,98;52,29;39,81;;;;;;;
MSAG.DE;MS Industrie AG;Germany;;;;;;;;;;
ANWGn.DE;DocCheck AG;Germany;;;;;;;;;;
QBYn.DE;QBeyond AG;Germany;68,46;70;68,94;;;;;;;
SPSN.S;Swiss Prime Site AG;Switzerland;61,37;62,89;64,05;56,61;51,45;47,33;46,19;48,09;35,82;23,17
AEIGn.DE;Allgeier SE;Germany;47,05;43,03;34,18;;;;;;;
SWEGn.DE;Schweizer Electronic AG;Germany;32,03;29,93;;;;;;;;
GIVN.S;Givaudan SA;Switzerland;77,54;75,87;75,58;73,41;74,73;70,58;67,33;73,94;71,34;70,71
GLJn.DE;Grenke AG;Germany;77,44;57,09;50,01;39,49;42,13;36,2;;;;
BMPG.BE;BMP Pharma Trading AG;Germany;;;;;;;;;;
SPBG.D;Spobag AG;Germany;;;;;;;;;;
INWk.DE;GBS Software AG;Germany;;;;;;;;;;
CCBG.MU;Instant Group AG;Germany;;;;;;;;;;
WDIG.H;Wirecard AG;Germany;36,81;28,89;31,53;29,92;28,57;16,13;14,04;15,92;;
TXGN.S;TX Group AG;Switzerland;47,43;39,73;16,95;14,83;16,64;;;;;
BVB.DE;Borussia Dortmund GmbH & Co KGaA;Germany;55,1;52,92;51,1;47,18;;;;;;
PGNG.DE;Paragon GmbH & Co KGaA;Germany;23,43;;;;;;;;;
DB1Gn.DE;Deutsche Boerse AG;Germany;75,27;77,15;73,32;73,18;73,17;72,19;69,32;66,31;64,53;64,86
GRMN.N;Garmin Ltd;Switzerland;60,9;64,24;61,12;56,94;56,88;59,97;54,84;59,1;49,08;63,02
FEWG.F;Funkwerk AG;Germany;;;;;;;;;;
MEDG.DE;Mediclin AG;Germany;39,31;35,05;;;;;;;;
LSXG.DE;Ls Telcom AG;Germany;;;;;;;;;;
SSMIEX.DE;iShares SLI UCITS ETF (DE);Germany;;;;;;;;;;
OHBG.DE;OHB SE;Germany;45,85;40,87;30,9;32,96;;;;;;
NBEN.S;Nebag ag;Switzerland;;;;;;;;;;
FRAG.DE;Fraport Frankfurt Airport Services Worldwide AG;Germany;79,64;84,68;82,36;83,82;82,2;85,82;86,24;83,5;80,86;75,46
HG1G.F;Homag Group AG;Germany;;;;;;;;;;
MCHN.S;MCH Group AG;Switzerland;26,92;24,35;20,91;;;;;;;
SX7PEX.DE;iShares STOXX Europe 600 Banks UCITS ETF (DE);Germany;;;;;;;;;;
SX7EEX.DE;iShares EURO STOXX Banks 30-15 UCITS ETF (DE) Dist;Germany;;;;;;;;;;
SXDPEX.DE;Ishares Stoxx Europe 600 Health Care (De);Germany;;;;;;;;;;
SX8PEX.DE;iShares STOXX Europe 600 Technology UCITS ETF Dis;Germany;;;;;;;;;;
SXKPEX.DE;iShares STOXX Europe 600 Telecommunications (DE);Germany;;;;;;;;;;
DJIEX.DE;iShares Dow Jones Industrial Average (DE);Germany;;;;;;;;;;
IXXG.DE;init innovation in traffic systems SE;Germany;49,48;44,1;37,47;;;;;;;
